# Turkish consumer price index, general index, 2003=100.
# Source: TCMB EVDS series TP.GENENDEKS.T1 (TUIK), fetched 2026-09-04.
# SPEC 6.3: the application produces real-spending figures from this file alone,
# with no network and no API key. EVDS is only ever used to extend it.
# This is the index LEVEL, not an annual rate. See SPEC 6.2.
month,index
2003-01,94.77
2003-02,96.23
2003-03,98.12
2003-04,99.09
2003-05,100.04
2003-06,100.12
2003-07,99.93
2003-08,100.09
2003-09,101.44
2003-10,102.38
2003-11,103.68
2003-12,104.12
2004-01,104.81
2004-02,105.35
2004-03,106.36
2004-04,106.89
2004-05,107.35
2004-06,107.21
2004-07,107.72
2004-08,108.54
2004-09,109.57
2004-10,112.03
2004-11,113.50
2004-12,113.86
2005-01,114.49
2005-02,114.51
2005-03,114.81
2005-04,115.63
2005-05,116.69
2005-06,116.81
2005-07,116.14
2005-08,117.13
2005-09,118.33
2005-10,120.45
2005-11,122.14
2005-12,122.65
2006-01,123.57
2006-02,123.84
2006-03,124.18
2006-04,125.84
2006-05,128.20
2006-06,128.63
2006-07,129.72
2006-08,129.15
2006-09,130.81
2006-10,132.47
2006-11,134.18
2006-12,134.49
2007-01,135.84
2007-02,136.42
2007-03,137.67
2007-04,139.33
2007-05,140.03
2007-06,139.69
2007-07,138.67
2007-08,138.70
2007-09,140.13
2007-10,142.67
2007-11,145.45
2007-12,145.77
2008-01,146.94
2008-02,148.84
2008-03,150.27
2008-04,152.79
2008-05,155.07
2008-06,154.51
2008-07,155.40
2008-08,155.02
2008-09,155.72
2008-10,159.77
2008-11,161.10
2008-12,160.44
2009-01,160.90
2009-02,160.35
2009-03,162.12
2009-04,162.15
2009-05,163.19
2009-06,163.37
2009-07,163.78
2009-08,163.29
2009-09,163.93
2009-10,167.88
2009-11,170.01
2009-12,170.91
2010-01,174.07
2010-02,176.59
2010-03,177.62
2010-04,178.68
2010-05,178.04
2010-06,177.04
2010-07,176.19
2010-08,176.90
2010-09,179.07
2010-10,182.35
2010-11,182.40
2010-12,181.85
2011-01,182.60
2011-02,183.93
2011-03,184.70
2011-04,186.30
2011-05,190.81
2011-06,188.08
2011-07,187.31
2011-08,188.67
2011-09,190.09
2011-10,196.31
2011-11,199.70
2011-12,200.85
2012-01,201.98
2012-02,203.12
2012-03,203.96
2012-04,207.05
2012-05,206.61
2012-06,204.76
2012-07,204.29
2012-08,205.43
2012-09,207.55
2012-10,211.62
2012-11,212.42
2012-12,213.23
2013-01,216.74
2013-02,217.39
2013-03,218.83
2013-04,219.75
2013-05,220.07
2013-06,221.75
2013-07,222.44
2013-08,222.21
2013-09,223.91
2013-10,227.94
2013-11,227.96
2013-12,229.01
2014-01,233.54
2014-02,234.54
2014-03,237.18
2014-04,240.37
2014-05,241.32
2014-06,242.07
2014-07,243.17
2014-08,243.40
2014-09,243.74
2014-10,248.37
2014-11,248.82
2014-12,247.72
2015-01,250.45
2015-02,252.24
2015-03,255.23
2015-04,259.39
2015-05,260.85
2015-06,259.51
2015-07,259.74
2015-08,260.78
2015-09,263.11
2015-10,267.20
2015-11,268.98
2015-12,269.54
2016-01,274.44
2016-02,274.38
2016-03,274.27
2016-04,276.42
2016-05,278.02
2016-06,279.33
2016-07,282.58
2016-08,281.76
2016-09,282.27
2016-10,286.33
2016-11,287.81
2016-12,292.54
2017-01,299.74
2017-02,302.17
2017-03,305.24
2017-04,309.23
2017-05,310.61
2017-06,309.78
2017-07,310.24
2017-08,311.85
2017-09,313.88
2017-10,320.40
2017-11,325.18
2017-12,327.41
2018-01,330.75
2018-02,333.17
2018-03,336.48
2018-04,342.78
2018-05,348.34
2018-06,357.44
2018-07,359.41
2018-08,367.66
2018-09,390.84
2018-10,401.27
2018-11,395.48
2018-12,393.88
2019-01,398.07
2019-02,398.71
2019-03,402.81
2019-04,409.63
2019-05,413.52
2019-06,413.63
2019-07,419.24
2019-08,422.84
2019-09,427.04
2019-10,435.59
2019-11,437.25
2019-12,440.50
2020-01,446.45
2020-02,448.02
2020-03,450.58
2020-04,454.43
2020-05,460.62
2020-06,465.84
2020-07,468.56
2020-08,472.61
2020-09,477.21
2020-10,487.38
2020-11,498.58
2020-12,504.81
2021-01,513.30
2021-02,517.96
2021-03,523.53
2021-04,532.32
2021-05,537.05
2021-06,547.48
2021-07,557.36
2021-08,563.60
2021-09,570.66
2021-10,584.32
2021-11,604.84
2021-12,686.95
2022-01,763.23
2022-02,799.93
2022-03,843.64
2022-04,904.79
2022-05,931.76
2022-06,977.90
2022-07,1001.03
2022-08,1015.65
2022-09,1046.89
2022-10,1084.00
2022-11,1115.26
2022-12,1128.45
2023-01,1203.48
2023-02,1241.33
2023-03,1269.75
2023-04,1300.04
2023-05,1300.60
2023-06,1351.59
2023-07,1479.84
2023-08,1614.31
2023-09,1691.04
2023-10,1749.11
2023-11,1806.50
2023-12,1859.38
2024-01,1984.02
2024-02,2073.88
2024-03,2139.47
2024-04,2207.50
2024-05,2281.85
2024-06,2319.29
2024-07,2394.10
2024-08,2453.34
2024-09,2526.16
2024-10,2598.91
2024-11,2657.23
2024-12,2684.55
2025-01,2819.65
2025-02,2883.75
2025-03,2954.69
2025-04,3043.23
2025-05,3089.74
2025-06,3132.17
2025-07,3196.66
2025-08,3261.72
2025-09,3367.22
2025-10,3453.09
2025-11,3482.96
2025-12,3513.87
2026-01,3683.83
2026-02,3793.05
2026-03,3866.74
2026-04,4028.47
2026-05,4097.55
2026-06,4137.93
2026-07,4211.58
2026-08,4289.23
